country,pop1,pop2,pop3,pop1PC,pop2PC,pop3PC,pcEN,pcES,pcFR,motivSchool,motivWork,motivTravel,motivBrain,motivFamily,motivCulture,motivOther,ui1,ui2,ui1PC,ui2PC,covidPop1,covidPop2,covidPop3,covidSchool,covidWork,covidTravel,covidBrain,covidFamily,covidCulture,covidOther
Sudan,English,French,German,0.683128649,0.106452325,0.04724743,0.683128649,0.044105838,0.106452325,0.273872155,0.127261461,0.079984934,0.144113823,0.130566322,0.140237901,0.103963404,Arabic,English,0.710811725,0.160668324,English,French,Spanish,0.24753074,0.115178391,0.076557146,0.152187059,0.141503729,0.151904858,0.115138077
Suriname,English,Spanish,French,0.270619076,0.254352356,0.120958527,0.270619076,0.254352356,0.120958527,0.256638628,0.118258288,0.119825169,0.183984826,0.12716477,0.067458354,0.126669965,English,Dutch,0.458492976,0.156315117,English,Spanish,French,0.252058554,0.118023788,0.106129918,0.200365965,0.122598353,0.072278134,0.128545288
Sweden,Swedish,Spanish,French,0.197891767,0.173481859,0.109145441,0.096974117,0.173481859,0.109145441,0.261585609,0.109977334,0.148042819,0.141800442,0.130951269,0.083626917,0.124015609,English,Arabic,0.582025238,0.05130311,Swedish,Spanish,English,0.250429333,0.097480658,0.1315263,0.165359489,0.128782111,0.089850043,0.136572066
Switzerland,English,French,German,0.279605721,0.174331632,0.164332976,0.279605721,0.141333653,0.174331632,0.235394382,0.160919366,0.18830995,0.120099896,0.11887266,0.075846186,0.100557559,English,German,0.277564933,0.271169658,English,French,Spanish,0.294838355,0.139577184,0.164687579,0.122577619,0.109250235,0.07304322,0.096025808
Tajikistan,English,German,Russian,0.64275548,0.122782048,0.05601417,0.64275548,0.036784009,0.04921403,0.338997507,0.164610943,0.126951844,0.142041727,0.092179504,0.047106679,0.088111796,Russian,English,0.707783787,0.129613815,English,German,Russian,0.320304017,0.179695983,0.11834962,0.136807818,0.102605863,0.04723127,0.095005429
Tanzania,French,Swahili,Spanish,0.195057267,0.184830353,0.179973811,0.084749134,0.179973811,0.195057267,0.17253813,0.160353117,0.119902188,0.198234416,0.149743037,0.072115385,0.127113727,English,French,0.648157664,0.018332201,French,Spanish,Swahili,0.180628873,0.144135873,0.086756943,0.227220565,0.163185678,0.064493918,0.13357815
Thailand,English,Spanish,Japanese,0.538538939,0.079024114,0.072657485,0.538538939,0.079024114,0.058251726,0.320043802,0.14551987,0.115989784,0.20909921,0.077656252,0.051153281,0.080537801,Thai,English,0.465321949,0.301881713,English,Japanese,Korean,0.346955966,0.134286918,0.093247438,0.218440469,0.078366532,0.049571823,0.079130855
Togo,English,Spanish,French,0.560402939,0.125047338,0.106187988,0.560402939,0.125047338,0.106187988,0.23201637,0.197229655,0.152211554,0.085943649,0.141350543,0.110498977,0.080749252,French,English,0.664470196,0.166553056,English,Spanish,German,0.253985122,0.217853348,0.153028693,0.089266738,0.119022317,0.092454835,0.074388948
Trinidad-Tobago,Spanish,French,English,0.481670799,0.127044794,0.115033601,0.115033601,0.481670799,0.127044794,0.238412764,0.123401909,0.113339536,0.179640925,0.131344981,0.072107929,0.141751956,English,Spanish,0.624947655,0.111430907,Spanish,English,French,0.235912211,0.120328786,0.108804339,0.19235658,0.125158885,0.073892043,0.143547157
Tunisia,English,German,French,0.404413773,0.150405327,0.126284316,0.404413773,0.104626435,0.126284316,0.251061126,0.139214301,0.120439895,0.137012635,0.136147304,0.130314532,0.085810208,French,English,0.476597517,0.189793323,English,Spanish,German,0.219105882,0.146352941,0.123505882,0.144541176,0.120917647,0.152588235,0.092988235
